run_id,country_id,policy_variant_id,scenario_id,regime_id,parameter_name,parameter_country_id,parameter_scenario_id,parameter_policy_id,parameter_regime_id,spearman_rho_with_v_gross,abs_spearman_rho,parameter_p10,parameter_p90,v_gross_at_parameter_p10_others_central,v_gross_at_parameter_p90_others_central,tornado_abs_range,parameter_set_id,dataset_version,rank_within_cell
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r2,phi_raw_stress,,stress,,,0.5230882728915309,0.5230882728915309,0.012476334098722085,0.0176006250274764,1.3871712312750322,2.1274696633730934,0.7402984320980612,baseline-official-v3,v1.0.1-official-4c,1
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r2,q_use_target,PER,,,,0.48073564150142556,0.48073564150142556,0.09376620202666944,0.12758020720387694,1.4501731011039343,2.1274043232867714,0.6772312221828372,baseline-official-v3,v1.0.1-official-4c,2
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r2,E_prod,PER,,,,0.4553146675885867,0.4553146675885867,0.09413486371927185,0.12529304132162275,1.490561803579347,2.1235614351199117,0.6329996315405646,baseline-official-v3,v1.0.1-official-4c,3
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r2,E_prod_frontier,,,,,-0.4479126451805058,0.4479126451805058,0.12069628939452977,0.163585990418665,1.6658133511034385,1.128734338169833,0.5370790129336056,baseline-official-v3,v1.0.1-official-4c,4
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r2,psi_shift,PER,,,,-0.08270735370829414,0.08270735370829414,0.07396944209176616,0.22619613541280964,1.979207785468829,1.861540411536674,0.11766737393215498,baseline-official-v3,v1.0.1-official-4c,5
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r2,chi_Kbase,PER,,,,0.07339161087166443,0.07339161087166443,0.6243797805187852,0.7750998826646497,1.9349791896851125,2.050587319349929,0.11560812966481637,baseline-official-v3,v1.0.1-official-4c,6
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r2,mpc_Pi,PER,,,,0.061342052021682074,0.061342052021682074,0.2955267214721878,0.4486299858202504,1.9637480658688535,2.0394648275329845,0.075716761664131,baseline-official-v3,v1.0.1-official-4c,7
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r2,mpc_W,PER,,,,0.04914172228566888,0.04914172228566888,0.6701079899128677,0.7963748978429358,1.9505656380533298,2.0369633552972832,0.0863977172439534,baseline-official-v3,v1.0.1-official-4c,8
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r2,chi_dom,PER,,,,0.04040857697634307,0.04040857697634307,0.9038195656304147,0.9757122405528698,1.958063203982853,2.0189506227712806,0.06088741878842763,baseline-official-v3,v1.0.1-official-4c,9
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r2,epsilon_ero_L_r2,,,,r2,-0.037887265707490625,0.037887265707490625,0.24920096378316953,0.7516917964222191,1.9448089958686015,1.8927168864279502,0.052092109440651235,baseline-official-v3,v1.0.1-official-4c,10
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r4,phi_raw_stress,,stress,,,0.521938677741547,0.521938677741547,0.012476334098722085,0.0176006250274764,1.7928722098567103,2.7081199228481845,0.9152477129914742,baseline-official-v3,v1.0.1-official-4c,1
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r4,q_use_target,PER,,,,0.4779283938371357,0.4779283938371357,0.09376620202666944,0.12758020720387694,1.8708678463981154,2.708049953759646,0.8371821073615304,baseline-official-v3,v1.0.1-official-4c,2
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r4,E_prod,PER,,,,0.45252474955698996,0.45252474955698996,0.09413486371927185,0.12529304132162275,1.9206963153032404,2.7032880917710367,0.7825917764677963,baseline-official-v3,v1.0.1-official-4c,3
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r4,E_prod_frontier,,,,,-0.44991193089247716,0.44991193089247716,0.12069628939452977,0.163585990418665,2.1374659738834825,1.4734599092817793,0.6640060646017032,baseline-official-v3,v1.0.1-official-4c,4
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r4,lambda_AI_stress,,stress,,,0.07488322552332902,0.07488322552332902,0.07497019647801369,0.12541556544458626,2.3439050774273738,2.482037554643233,0.13813247721585942,baseline-official-v3,v1.0.1-official-4c,5
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r4,chi_Kbase,PER,,,,0.06856586136663444,0.06856586136663444,0.6243797805187852,0.7750998826646497,2.246248941519469,2.3776796534746403,0.1314307119551712,baseline-official-v3,v1.0.1-official-4c,6
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r4,tau_AI_eff_r4,,,,r4,0.06588618695544747,0.06588618695544747,0.05828877175353316,0.11319218472569177,2.3434909542531153,2.4678182440453864,0.12432728979227115,baseline-official-v3,v1.0.1-official-4c,7
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r4,psi_shift,PER,,,,-0.06550133119605324,0.06550133119605324,0.07396944209176616,0.22619613541280964,2.348007786860834,2.224386924212984,0.12362086264784988,baseline-official-v3,v1.0.1-official-4c,8
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r4,mpc_Pi,PER,,,,0.05712179134087164,0.05712179134087164,0.2955267214721878,0.4486299858202504,2.258526714639021,2.3411825133573543,0.08265579871833317,baseline-official-v3,v1.0.1-official-4c,9
official_4c_tierB_mc_baseline_official_v3,PER,PEN,stress,r4,tau_K_relative_delta_r4,,,,r4,0.050310168668406735,0.050310168668406735,0.198068948601719,0.3011331798178291,2.4070022395666895,2.4432183818744084,0.03621614230771897,baseline-official-v3,v1.0.1-official-4c,10
