country_id,policy_variant_id,scenario_id,regime_id,v_gross,crosses_v1,cell_result_class
CHL,MUT,mid,r0,0.0547886336536989,False,not_feasible
CHL,PBI,mid,r0,0.0388238152491779,False,not_feasible
CHL,UBI,mid,r0,0.0174750960041515,False,not_feasible
CHL,PEN,mid,r1,0.0374110771790924,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,mid,r1,-0.4880241400695869,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,mid,r1,-0.3253494267130579,False,not_feasible
CHL,MUT,mid,r1,0.0598660419858482,False,not_feasible
CHL,PBI,mid,r1,0.041780452457732,False,not_feasible
CHL,UBI,mid,r1,0.0186927954366983,False,not_feasible
CHL,PEN,mid,r2,0.0416998930913176,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,mid,r2,-0.3970568092537489,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,mid,r2,-0.2647045395024993,False,not_feasible
CHL,MUT,mid,r2,0.0644507954589664,False,not_feasible
CHL,PBI,mid,r2,0.0445246556917256,False,not_feasible
CHL,UBI,mid,r2,0.0198389838049778,False,not_feasible
CHL,PEN,mid,r3,0.0303414308033455,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,mid,r3,-0.6486323704215634,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,mid,r3,-0.4324215802810423,False,not_feasible
CHL,MUT,mid,r3,0.0524738632227801,False,not_feasible
CHL,PBI,mid,r3,0.0374053320957215,False,not_feasible
CHL,UBI,mid,r3,0.0168757423362256,False,not_feasible
CHL,PEN,mid,r4,0.0533544303576521,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,mid,r4,-0.1320957354920681,False,not_feasible
CHL,GMI:GMI_loaded_aggregate,mid,r4,-0.0880638236613787,False,not_feasible
CHL,MUT,mid,r4,0.0766340401654359,False,not_feasible
CHL,PBI,mid,r4,0.051734489778361,False,not_feasible
CHL,UBI,mid,r4,0.0228331423311046,False,not_feasible
CHL,PEN,high,r0,0.0197250231634253,False,not_feasible
CHL,GMI:GMI_ideal_aggregate,high,r0,-0.8809158573204959,False,not_feasible
