run_id,run_type,country_id,policy_variant_id,scenario_id,regime_id,v_baseline,v_negative_control,collapse_ratio,baseline_crosses_v1,negative_control_crosses_v1,verdict,parameter_set_id,dataset_version,diagnostic_block,v_baseline_recomputed,v_no_rent_capture,delta_v,r4_crossing_depends_on_rents,v_high_leakage,crossing_survives_high_leakage
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,mid,r1,0.0074457059524051,0.0023690882575834,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,mid,r2,0.1232497556668719,0.0392158313485501,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,mid,r2,-0.042648285425488,-0.0135699089990189,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,mid,r2,-0.0284321902836587,-0.0090466059993459,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,mid,r2,0.0236746826169089,0.0075328535599255,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,mid,r2,0.0194827667412041,0.0061990621449285,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,mid,r2,0.0079453068722719,0.0025280521866319,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,mid,r3,0.0721660346552839,0.0229619201175903,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,mid,r3,-0.0534236826727717,-0.0169984444867909,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,mid,r3,-0.0356157884485144,-0.0113322963245273,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,mid,r3,0.0184319849785464,0.0058647224931738,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PBI,mid,r3,0.0160003092940026,0.0050910075026371,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,UBI,mid,r3,0.0066514880387719,0.002116382557791,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,PEN,mid,r4,0.1765945556483395,0.0561891767971989,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_ideal_aggregate,mid,r4,-0.0310475854881461,-0.0098787772007737,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,GMI:GMI_loaded_aggregate,mid,r4,-0.0206983903254307,-0.0065858514671824,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,PER,MUT,mid,r4,0.0290934817763354,0.0092570169288339,0.3181818181818182,False,False,PASS,baseline-official-v3,v1.0.1-official-4c,sectorial_displacement,,,,,,
