country_id,government_level,revenue_concept,percentile_sample,p10_mfc_hist_positive,p25_mfc_hist_positive,p50_mfc_hist_positive,p50_ci_low,p50_ci_high,p75_mfc_hist_positive,p75_ci_low,p75_ci_high,p90_mfc_hist_positive,p90_ci_low,p90_ci_high,ci_method,n_years_total,n_years_positive,p_negative_capture,p10_mfc_hist_negative,p50_mfc_hist_negative,p90_mfc_hist_negative,support_warning,dataset_version,build_id,bootstrap_ci_available_flag,support_warning_flag
COL,general_government,tax,2015plus,0.1462572707089684,0.20399777887497061,0.22322316013005905,0.17526895838752227,0.2634009282770698,0.2573283026210685,0.2152507200025493,0.5086361977128098,0.3369715091077917,0.22969578248490544,0.5086361977128098,"bootstrap percentile, B=2000, seed=20240707, PCG64",9,8,0.1111111111111111,-0.06678447651839338,-0.06678447651839338,-0.06678447651839338,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
COL,general_government,tax,excl_pandemic_2020_2021,0.12649885604220767,0.16648986515667144,0.2152507200025493,0.17526895838752227,0.24995310548578967,0.25530409406906807,0.2311956002575688,0.30002039038433603,0.30002039038433603,0.24995310548578967,0.4966547161922809,"bootstrap percentile, B=2000, seed=20240707, PCG64",22,21,0.045454545454545456,-0.04624619911578937,-0.04624619911578937,-0.04624619911578937,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
COL,general_government,total_revenue,2000plus,0.212901390086587,0.25199845079671607,0.3033471349933136,0.2538565481251595,0.3741015950414938,0.3853240986101223,0.31456097309944403,0.42374979639297317,0.42374979639297317,0.3741015950414938,0.8512085024494972,"bootstrap percentile, B=2000, seed=20240707, PCG64",23,21,0.08695652173913043,-0.15378902296526129,-0.1048763081590933,-0.055963593352925285,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
COL,general_government,total_revenue,2010plus,0.140020836442965,0.2422241856191838,0.3016455396076536,0.23244992044165153,0.39892569571723346,0.38651364537936367,0.29994394422199355,0.7657398625966096,0.7017977693074413,0.362419917450695,0.8648834848259589,"bootstrap percentile, B=2000, seed=20240707, PCG64",14,12,0.14285714285714285,-0.16648751623224722,-0.11193102664075213,-0.05737453704925705,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
COL,general_government,total_revenue,2015plus,0.18051003291164391,0.2424984171969225,0.29994394422199355,0.212901390086587,0.7326919885201598,0.5180195617567367,0.272095444307258,0.8724806972573268,0.7886074720150267,0.30130522053052156,0.8724806972573268,"bootstrap percentile, B=2000, seed=20240707, PCG64",9,7,0.2222222222222222,-0.17354223471390606,-0.11585031468611817,-0.05815839465833026,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
COL,general_government,total_revenue,excl_pandemic_2020_2021,0.20480355079285123,0.24862344691879862,0.3072524586607188,0.2529274994609378,0.3797128468258081,0.3857765488370045,0.3148633754820568,0.5009853444247698,0.4546440156056923,0.37637377621922746,0.8527279449357705,"bootstrap percentile, B=2000, seed=20240707, PCG64",22,20,0.09090909090909091,-0.15519996666159305,-0.1056601657681665,-0.056120364874739925,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
MEX,general_government,tax,2000plus,0.10205882045865673,0.12247378523956821,0.1702907834439389,0.12974201455343212,0.2092426796885511,0.2214556914935673,0.18623977212323015,0.2991043596705409,0.2981500865508881,0.20829839411170878,0.4764512005508121,"bootstrap percentile, B=2000, seed=20240707, PCG64",22,22,0.0,,,,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
MEX,general_government,tax,2010plus,0.10734743456868574,0.1310287476691411,0.18437771523779206,0.14030367875110847,0.2769340479952539,0.2808621554355014,0.1754721924554274,0.3875792136748398,0.3610367574735502,0.24110741933054217,0.49632552672982677,"bootstrap percentile, B=2000, seed=20240707, PCG64",14,14,0.0,,,,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
MEX,general_government,tax,2015plus,0.11420143209653238,0.1651093744324504,0.2092426796885511,0.11664549323049321,0.2898001967539248,0.2895616284740129,0.1754721924554274,0.4954973265160914,0.33838295303965105,0.22721501568494906,0.4954973265160914,"bootstrap percentile, B=2000, seed=20240707, PCG64",9,9,0.0,,,,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
MEX,general_government,tax,excl_pandemic_2020_2021,0.10191396136683481,0.12974201455343212,0.1754721924554274,0.13184795917164271,0.2092426796885511,0.2255266954285727,0.19283796188103852,0.2991043596705409,0.2991043596705409,0.2092426796885511,0.4875758233805751,"bootstrap percentile, B=2000, seed=20240707, PCG64",21,21,0.0,,,,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
MEX,general_government,total_revenue,2000plus,0.1525053750261646,0.22045995205313496,0.2580752034623434,0.23624514234019384,0.2960699611335718,0.3092417512597547,0.2596054861639359,0.38531863160282326,0.38498520142393616,0.295708579315443,0.7895838708962514,"bootstrap percentile, B=2000, seed=20240707, PCG64",22,22,0.0,,,,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
MEX,general_government,total_revenue,2010plus,0.11836893992239648,0.19253635688298532,0.25109509440874356,0.19296073719960044,0.30815562190028495,0.30332480258506656,0.24701316045330168,0.3819843298139523,0.3752346704575867,0.2676449927325987,0.38488517237027003,"bootstrap percentile, B=2000, seed=20240707, PCG64",14,14,0.0,,,,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
MEX,general_government,total_revenue,2015plus,0.15808576065327368,0.24701316045330168,0.2565449207607509,0.17796676173058246,0.3819843298139523,0.3594854652927334,0.25517702836418543,0.3850518874597136,0.38259784134310454,0.2724021664348191,0.3850518874597136,"bootstrap percentile, B=2000, seed=20240707, PCG64",9,9,0.0,,,,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
MEX,general_government,total_revenue,excl_pandemic_2020_2021,0.14967633205900704,0.23624514234019384,0.2596054861639359,0.23694075943487491,0.2960699611335718,0.3136323479684824,0.27189200095849353,0.38531863160282326,0.38531863160282326,0.2960699611335718,0.8262997965307564,"bootstrap percentile, B=2000, seed=20240707, PCG64",21,21,0.0,,,,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
PER,general_government,tax,2000plus,0.1115477302042488,0.16966355699967423,0.22729706643440387,0.1754658819500451,0.2529137568483948,0.26263376738510813,0.23204994827246994,0.309035764610457,0.29671941549945263,0.25288578296139486,0.3436409430918864,"bootstrap percentile, B=2000, seed=20240707, PCG64",23,19,0.17391304347826086,-0.3571734271388729,-0.1499738813481708,-0.05975597962897365,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
PER,general_government,tax,2010plus,0.11877806825270798,0.18183737489425306,0.23880540324499921,0.1638612320493034,0.2885085160921164,0.2707111364702556,0.23267574066683022,0.33741416637744326,0.32956301312879765,0.24261637268746644,0.3452653196260889,"bootstrap percentile, B=2000, seed=20240707, PCG64",14,11,0.21428571428571427,-0.15761197708087057,-0.13048894325454902,-0.04965127053960576,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
PER,general_government,tax,2015plus,0.07607093880723251,0.13903693062433167,0.24416101691565956,0.07607093880723251,0.33786538208138844,0.31929938886962733,0.17955465536757903,0.34616775103397923,0.33786538208138844,0.2324729096433436,0.34616775103397923,"bootstrap percentile, B=2000, seed=20240707, PCG64",9,6,0.3333333333333333,-0.15917077212836028,-0.13048894325454902,-0.04965127053960576,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
PER,general_government,tax,excl_pandemic_2020_2021,0.10913319383368764,0.16676239452448882,0.22692157226153253,0.175384220505225,0.245859580046697,0.2503394108081627,0.22710931934796819,0.31589793812981615,0.2913008031316495,0.24261637268746644,0.34382142937346444,"bootstrap percentile, B=2000, seed=20240707, PCG64",22,18,0.18181818181818182,-0.3595800246734509,-0.1499738813481708,-0.05975597962897365,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
PER,general_government,total_revenue,2000plus,0.10954058446538355,0.20437480726960197,0.2844348613838572,0.21013922653317252,0.29655111754489416,0.29703744263423987,0.2857351391093749,0.355309175160956,0.3475264401739878,0.29466480625149677,0.3745983785569034,"bootstrap percentile, B=2000, seed=20240707, PCG64",23,18,0.21739130434782608,-0.5916580755984218,-0.18943681718057498,-0.09116639997721603,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
PER,general_government,total_revenue,2010plus,0.11804986759714191,0.21013922653317252,0.2870354168348927,0.19861038800603142,0.33343581491264085,0.3154797913181132,0.2844348613838572,0.36926330833060983,0.36253648065397875,0.29557846736620286,0.37599013600724085,"bootstrap percentile, B=2000, seed=20240707, PCG64",14,11,0.21428571428571427,-0.1838373867533748,-0.17101763814373225,-0.0645493205883773,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
PER,general_government,total_revenue,2015plus,0.1038677290442113,0.16291834262875282,0.3154797913181132,0.1038677290442113,0.36964990762237027,0.35526131421864426,0.2526552926919746,0.3767633345907617,0.36964990762237027,0.2975237677235855,0.3767633345907617,"bootstrap percentile, B=2000, seed=20240707, PCG64",9,6,0.3333333333333333,-0.1845741539148485,-0.17101763814373225,-0.0645493205883773,small_n,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,True
PER,general_government,total_revenue,excl_pandemic_2020_2021,0.10670415675479743,0.19861038800603142,0.28183430593282166,0.19861038800603142,0.29557846736620286,0.29557846736620286,0.28183430593282166,0.36253648065397875,0.3496707316711294,0.293439537049173,0.3747530182736076,"bootstrap percentile, B=2000, seed=20240707, PCG64",22,17,0.22727272727272727,-0.5916654338035912,-0.18943681718057498,-0.09116639997721603,,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T155313Z,True,False
