run_id,mc_mode,country_id,policy_variant_id,scenario_id,regime_id,mc_n_draws,prob_v_ge_1_10,valid_support_share,valid_support_share_above_threshold,delta_from_previous,convergence_tolerance,support_share_threshold,converged_flag,parameter_set_id,dataset_version
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,mid,r0,50000,0.00034,1.0,True,1.9999999999999998e-05,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r0,5000,0.9638,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r0,10000,0.9622,1.0,True,0.0015999999999999348,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r0,25000,0.96164,1.0,True,0.0005600000000000049,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r0,50000,0.96182,1.0,True,0.00017999999999995797,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r1,5000,0.9762,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r1,10000,0.9765,1.0,True,0.000300000000000078,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r1,25000,0.97632,1.0,True,0.000180000000000069,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r1,50000,0.97578,1.0,True,0.0005399999999999849,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r2,5000,0.9876,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r2,10000,0.9856,1.0,True,0.0020000000000000018,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r2,25000,0.98504,1.0,True,0.0005600000000000049,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r2,50000,0.98566,1.0,True,0.0006199999999999539,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r3,5000,0.9716,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r3,10000,0.9716,1.0,True,0.0,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r3,25000,0.97156,1.0,True,4.0000000000040004e-05,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r3,50000,0.97232,1.0,True,0.0007599999999999829,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r4,5000,0.9982,1.0,True,,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r4,10000,0.9974,1.0,True,0.0008000000000000229,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r4,25000,0.99784,1.0,True,0.00043999999999999595,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
official_4c_tierB_mc_baseline_official_v3,MC_factor_nominal,CHL,GMI:GMI_ideal_aggregate,stress,r4,50000,0.99778,1.0,True,5.999999999994898e-05,0.02,0.9,True,baseline-official-v3,v1.0.1-official-4c
