run_id,extension_id,country_id,policy_id,policy_variant_id,scenario_id,regime_id,gmi_version,v_baseline,baseline_cell_result_class,baseline_country_policy_result_class,historical_tax_class_baseline,historical_tax_borderline_baseline,historical_total_revenue_class_baseline,historical_total_revenue_borderline_baseline,policy_rank_baseline,v_lsraw,lsraw_cell_result_class,lsraw_country_policy_result_class,historical_tax_class_lsraw,historical_tax_borderline_lsraw,historical_total_revenue_class_lsraw,historical_total_revenue_borderline_lsraw,policy_rank_lsraw,delta_v,class_changed_flag,country_policy_class_changed_flag,policy_rank_changed_flag,run_type,extension_type,parameter_set_id,baseline_parameter_set_id,baseline_dataset_version,extension_input_snapshot_id
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,high,r3,GMI_loaded_aggregate,-0.5886049044016584,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.5953915785230852,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.006786674121426861,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,high,r4,GMI_loaded_aggregate,-0.2774180364923677,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.2858030285212747,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.008384992028907023,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,low,r0,GMI_loaded_aggregate,-1.497071714844974,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-1.496303875922861,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,0.0007678389221128512,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,low,r1,GMI_loaded_aggregate,-1.4665133300071609,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-1.465896634527029,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,0.0006166954801318791,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,low,r2,GMI_loaded_aggregate,-1.4586282006281182,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-1.4579761238858588,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,0.000652076742259311,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,low,r3,GMI_loaded_aggregate,-1.4954441241385503,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-1.4948631139179778,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,0.0005810102205725531,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,low,r4,GMI_loaded_aggregate,-1.4201234925189,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-1.4193988569226867,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,0.0007246355962131634,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,mid,r0,GMI_loaded_aggregate,-0.4079975979203134,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.4173741330080983,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.009376535087784854,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,mid,r1,GMI_loaded_aggregate,-0.3253494267130579,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.3360128150813587,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.01066338836830083,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
official_4c_lsraw_robustness_extension_baseline_official_v3,LS_RAW_VS_ADJUSTED_ROBUSTNESS_EXTENSION_2026_07_10,CHL,GMI,GMI:GMI_loaded_aggregate,mid,r2,GMI_loaded_aggregate,-0.2647045395024993,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.27579144878918654,not_feasible,conditional_feasibility_probabilistic_leg_not_evaluated,fiscally_ordinary,False,fiscally_ordinary,False,5,-0.011086909286687263,False,False,False,robustness,post_baseline_robustness_extension_new_input_series,robustness-lsraw-v1,baseline-official-v3,v1.0.1-official-4c,robustness-lsraw-v1
