run_id,country_id,policy_variant_id,scenario_id,regime_id,parameter_name,parameter_country_id,parameter_scenario_id,parameter_policy_id,parameter_regime_id,spearman_rho_with_v_gross,abs_spearman_rho,parameter_p10,parameter_p90,v_gross_at_parameter_p10_others_central,v_gross_at_parameter_p90_others_central,tornado_abs_range,parameter_set_id,dataset_version,rank_within_cell,extension_id
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,mpc_W,CHL,,,,0.057703146436125854,0.057703146436125854,0.6607689795727487,0.7856919346470476,6.235423026370529,6.647220962779768,0.411797936409239,baseline-official-v3,v1.0.1-official-4c,7,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,chi_dom,CHL,,,,0.04732427200497087,0.04732427200497087,0.9038425817452265,0.9772879082728718,6.22003975578234,6.453128940161612,0.2330891843792724,baseline-official-v3,v1.0.1-official-4c,8,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,mpc_Pi,CHL,,,,0.03474193828567753,0.03474193828567753,0.2909386195146852,0.44178047016003535,6.244608964816304,6.537972522978833,0.2933635581625289,baseline-official-v3,v1.0.1-official-4c,9,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,omega_G,CHL,,,,-0.02836691700667668,0.02836691700667668,0.36994477029217154,0.6259135586848656,5.062356604941471,5.062356604941471,0.0,baseline-official-v3,v1.0.1-official-4c,10,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,lambda_AI_stress,,stress,,,0.020626725945069035,0.020626725945069035,0.07497019647801369,0.12541556544458626,6.888129763824569,6.888129763824569,0.0,baseline-official-v3,v1.0.1-official-4c,11,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,nu_G,CHL,,,,-0.016895108355804333,0.016895108355804333,0.24396139853734505,0.7532297223112419,5.062356604941471,5.062356604941471,0.0,baseline-official-v3,v1.0.1-official-4c,12,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,omega_I,CHL,,,,-0.014677598699103945,0.014677598699103945,0.37201684780830735,0.6255980000263197,5.062356604941471,5.062356604941471,0.0,baseline-official-v3,v1.0.1-official-4c,13,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,I_adopt_informality,CHL,,,,0.011575874959034997,0.011575874959034997,0.25426383174960837,0.29459060417037536,5.062356604941471,5.062356604941471,0.0,baseline-official-v3,v1.0.1-official-4c,14,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,RST,CHL,,,,0.009038639593545582,0.009038639593545582,0.2472922559576586,0.751571223358716,6.663491009029741,6.671697009122117,0.008206000092376264,baseline-official-v3,v1.0.1-official-4c,15,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,E_aug,CHL,,,,-0.00841075982443039,0.00841075982443039,0.09467287528848896,0.1248197592308635,6.662706422813333,6.676723074467296,0.014016651653963486,baseline-official-v3,v1.0.1-official-4c,16,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,Gap_excluded_indicators,CHL,,,,-0.005971308334852333,0.005971308334852333,0.06362966815059384,0.11438431509878386,5.062356604941471,5.062356604941471,0.0,baseline-official-v3,v1.0.1-official-4c,17,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,mpc_R,CHL,,,,0.005723931588957262,0.005723931588957262,0.4753053727278436,0.6264911804872572,6.341253814978199,6.479633806153833,0.1383799911756345,baseline-official-v3,v1.0.1-official-4c,18,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,nu_I,CHL,,,,-0.004471266322850652,0.004471266322850652,0.24246199821836284,0.7537963531069594,5.062356604941471,5.062356604941471,0.0,baseline-official-v3,v1.0.1-official-4c,19,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,A_aipi_total,CHL,,,,0.003681602547264101,0.003681602547264101,0.5599695376072014,0.610614164542983,5.062356604941471,5.062356604941471,0.0,baseline-official-v3,v1.0.1-official-4c,20,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r0,nu_A,CHL,,,,-0.002849681585987263,0.002849681585987263,0.6077623391978197,1.4812586931073428,5.062356604941471,5.062356604941471,0.0,baseline-official-v3,v1.0.1-official-4c,21,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,phi_raw_stress,,stress,,,0.5393284014451359,0.5393284014451359,0.012476334098722085,0.0176006250274764,7.525629912439752,11.9192065244352,4.3935766119954485,baseline-official-v3,v1.0.1-official-4c,1,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,q_use_target,CHL,,,,0.4743830211513208,0.4743830211513208,0.11175467645341712,0.15158690065862226,7.892271070654689,11.860797273616061,3.968526202961372,baseline-official-v3,v1.0.1-official-4c,2,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,E_prod,CHL,,,,0.44211254574850173,0.44211254574850173,0.09472784279378008,0.1247286547279487,8.207538903583162,11.826563318136689,3.619024414553527,baseline-official-v3,v1.0.1-official-4c,3,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,E_prod_frontier,,,,,-0.44165174381006966,0.44165174381006966,0.12069628939452977,0.163585990418665,9.176969798164615,6.000615202655937,3.176354595508678,baseline-official-v3,v1.0.1-official-4c,4,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,chi_Kbase,CHL,,,,0.11011649115665963,0.11011649115665963,0.6248705357753754,0.7757486717199323,9.743722129335923,10.463165070364736,0.719442941028813,baseline-official-v3,v1.0.1-official-4c,5,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,tau_AI_eff_r4,,,,r4,0.08724047427361896,0.08724047427361896,0.05828877175353316,0.11319218472569177,10.177721448484315,10.749036649697262,0.571315201212947,baseline-official-v3,v1.0.1-official-4c,6,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,lambda_AI_stress,,stress,,,0.07637210955088437,0.07637210955088437,0.07497019647801369,0.12541556544458626,10.185971027423555,10.8207245408837,0.6347535134601454,baseline-official-v3,v1.0.1-official-4c,7,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,psi_shift,CHL,,,,-0.07349847413993896,0.07349847413993896,0.07482357226028323,0.22551273350112164,10.27989679979318,9.64531345973486,0.6345833400583203,baseline-official-v3,v1.0.1-official-4c,8,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,tau_C_relative_delta_r4,,,,r4,0.05386262077850482,0.05386262077850482,0.1989266753320453,0.2997529275256556,10.439571697415095,10.74673039445196,0.30715869703686494,baseline-official-v3,v1.0.1-official-4c,9,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,mpc_W,CHL,,,,0.0504452275218091,0.0504452275218091,0.6607689795727487,0.7856919346470476,9.753660327906523,10.24958591907433,0.495925591167806,baseline-official-v3,v1.0.1-official-4c,10,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,chi_dom,CHL,,,,0.043416431432657256,0.043416431432657256,0.9038425817452265,0.9772879082728718,9.855994861275514,10.193536713001567,0.3375418517260531,baseline-official-v3,v1.0.1-official-4c,11,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,epsilon_ero_C_r4,,,,r4,-0.04203452462538098,0.04203452462538098,0.23590872668961482,0.7562384296828005,10.434274635827073,10.02584833712195,0.40842629870512326,baseline-official-v3,v1.0.1-official-4c,12,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,mpc_Pi,CHL,,,,0.031247786785911467,0.031247786785911467,0.2909386195146852,0.44178047016003535,9.809296905800654,10.240526181303283,0.4312292755026288,baseline-official-v3,v1.0.1-official-4c,13,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,omega_G,CHL,,,,-0.03055194659807786,0.03055194659807786,0.36994477029217154,0.6259135586848656,8.068329923175197,8.068329923175197,0.0,baseline-official-v3,v1.0.1-official-4c,14,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,epsilon_ero_L_r4,,,,r4,-0.024670280570811224,0.024670280570811224,0.23878547629914423,0.7476712213816119,10.226242920134991,9.962190058631307,0.2640528615036839,baseline-official-v3,v1.0.1-official-4c,15,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,tau_L_relative_delta_r4,,,,r4,0.020128451653138063,0.020128451653138063,0.1985691187819181,0.3007676944811119,10.289078068367356,10.687618006397962,0.3985399380306056,baseline-official-v3,v1.0.1-official-4c,16,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,nu_G,CHL,,,,-0.019962922974516916,0.019962922974516916,0.24396139853734505,0.7532297223112419,8.068329923175197,8.068329923175197,0.0,baseline-official-v3,v1.0.1-official-4c,17,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,tau_K_relative_delta_r4,,,,r4,0.019740159093606362,0.019740159093606362,0.198068948601719,0.3011331798178291,10.4539399861243,10.641214308882603,0.18727432275830225,baseline-official-v3,v1.0.1-official-4c,18,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,base_broadening_delta_r4,,,,r4,0.017267050482682015,0.017267050482682015,0.1495129425166417,0.2507418641860534,10.249714596887733,10.29189213164758,0.042177534759847646,baseline-official-v3,v1.0.1-official-4c,19,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,omega_I,CHL,,,,-0.01491646331665853,0.01491646331665853,0.37201684780830735,0.6255980000263197,8.068329923175197,8.068329923175197,0.0,baseline-official-v3,v1.0.1-official-4c,20,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,I_adopt_informality,CHL,,,,0.012097676451907055,0.012097676451907055,0.25426383174960837,0.29459060417037536,8.068329923175197,8.068329923175197,0.0,baseline-official-v3,v1.0.1-official-4c,21,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,leakage_multiplier_r4,,,,r4,-0.01162639956905598,0.01162639956905598,0.4244512024869409,0.5767071394802882,10.243576463314609,10.222771112260034,0.020805351054574928,baseline-official-v3,v1.0.1-official-4c,22,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,E_aug,CHL,,,,-0.0113247675569907,0.0113247675569907,0.09467287528848896,0.1248197592308635,10.01318081810628,10.031191214160653,0.0180103960543736,baseline-official-v3,v1.0.1-official-4c,23,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,RST,CHL,,,,0.01118798127951925,0.01118798127951925,0.2472922559576586,0.751571223358716,10.015688927363863,10.026233174853143,0.010544247489280067,baseline-official-v3,v1.0.1-official-4c,24,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,Gap_excluded_indicators,CHL,,,,-0.008665458106618323,0.008665458106618323,0.06362966815059384,0.11438431509878386,8.068329923175197,8.068329923175197,0.0,baseline-official-v3,v1.0.1-official-4c,25,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,epsilon_ero_K_r4,,,,r4,-0.008285834923433395,0.008285834923433395,0.24476746700853239,0.7511321549066163,10.131546570062518,10.017325156265127,0.11422141379739159,baseline-official-v3,v1.0.1-official-4c,26,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,mpc_R,CHL,,,,0.004417648688705947,0.004417648688705947,0.4753053727278436,0.6264911804872572,9.847789471145486,10.00028965919891,0.15250018805342336,baseline-official-v3,v1.0.1-official-4c,27,OMEGA_I_REPORTING_EXTENSION_2026_07_10
official_4c_tierB_mc_baseline_official_v3,CHL,GMI:GMI_ideal_aggregate,stress,r4,A_aipi_total,CHL,,,,0.003136914365476574,0.003136914365476574,0.5599695376072014,0.610614164542983,8.068329923175197,8.068329923175197,0.0,baseline-official-v3,v1.0.1-official-4c,28,OMEGA_I_REPORTING_EXTENSION_2026_07_10
