run_id,country_id,policy_id,scenario_id,regime_id,endpoint_year,phi_y_nominal,translation_factor,g_ai_level,mfc_gross,mfc_tilde_gross,fs_gross,fs_eff,cost_gross_gdp,cost_net_gdp,v_gross,v_net,xi,crosses_v1,crosses_buffer,debt_guardrail_pass,historical_plausibility_class,cell_result_class,country_policy_result_class
pilot_per_tierA_baseline_pilot_v2,PER,MUT,mid,r4,2034,0.004250000000000087,0.08021805984449866,0.003414502698713795,0.12402663075016121,0.12402663075016121,0.0004234892654088048,-0.0005128161533104069,0.053394790101502256,0.053394790101502256,-0.009604235775354774,-0.009604235775354774,0.1,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,MUT,mid,r4,2034,0.004250000000000087,0.08021805984449866,0.003414502698713795,0.12402663075016121,0.12402663075016121,0.0004234892654088048,-0.0005128161533104069,0.053394790101502256,0.053394790101502256,-0.009604235775354774,-0.009604235775354774,0.25,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,MUT,mid,r4,2034,0.004250000000000087,0.08021805984449866,0.003414502698713795,0.12402663075016121,0.12402663075016121,0.0004234892654088048,-0.0005128161533104069,0.053394790101502256,0.053394790101502256,-0.009604235775354774,-0.009604235775354774,0.5,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,PBI,mid,r4,2034,0.004250000000000087,0.08021805984449866,0.003414502698713795,0.12402663075016121,0.12402663075016121,0.0004234892654088048,-0.00041281615331040705,0.0796945147314945,0.0796945147314945,-0.0051799820188536275,-0.0051799820188536275,0.0,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,PBI,mid,r4,2034,0.004250000000000087,0.08021805984449866,0.003414502698713795,0.12402663075016121,0.12402663075016121,0.0004234892654088048,-0.00041281615331040705,0.0796945147314945,0.0796945147314945,-0.0051799820188536275,-0.0051799820188536275,0.05,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,PBI,mid,r4,2034,0.004250000000000087,0.08021805984449866,0.003414502698713795,0.12402663075016121,0.12402663075016121,0.0004234892654088048,-0.00041281615331040705,0.0796945147314945,0.0796945147314945,-0.0051799820188536275,-0.0051799820188536275,0.1,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,PBI,mid,r4,2034,0.004250000000000087,0.08021805984449866,0.003414502698713795,0.12402663075016121,0.12402663075016121,0.0004234892654088048,-0.00041281615331040705,0.0796945147314945,0.0796945147314945,-0.0051799820188536275,-0.0051799820188536275,0.25,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,PBI,mid,r4,2034,0.004250000000000087,0.08021805984449866,0.003414502698713795,0.12402663075016121,0.12402663075016121,0.0004234892654088048,-0.00041281615331040705,0.0796945147314945,0.0796945147314945,-0.0051799820188536275,-0.0051799820188536275,0.5,False,False,False,fiscally_ordinary,not_feasible,not_feasible
pilot_per_tierA_baseline_pilot_v2,PER,UBI,mid,r4,2034,0.004250000000000087,0.08021805984449866,0.003414502698713795,0.12402663075016121,0.12402663075016121,0.0004234892654088048,-0.0005550772370542492,0.21357916040600902,0.21357916040600902,-0.00259892976449135,-0.00259892976449135,0.0,False,False,False,fiscally_ordinary,not_feasible,stress_benchmark_only
pilot_per_tierA_baseline_pilot_v2,PER,UBI,mid,r4,2034,0.004250000000000087,0.08021805984449866,0.003414502698713795,0.12402663075016121,0.12402663075016121,0.0004234892654088048,-0.0005550772370542492,0.21357916040600902,0.21357916040600902,-0.00259892976449135,-0.00259892976449135,0.05,False,False,False,fiscally_ordinary,not_feasible,stress_benchmark_only
